147.258333    2.527    1.433   -0.385 
147.261111    3.181    1.775   -0.212 
147.263889    3.321    1.978    0.130 
147.266667    3.096    2.060    0.552 
147.269444    3.040    2.185    0.093 
147.272222    3.406    1.405   -0.039 
147.275000    1.791    1.528   -1.465 
147.277778    2.692    0.696   -1.352 
147.280556    3.388    1.164   -0.740 
147.283333    3.542    1.579    0.097 
147.286111    3.568    1.345    0.586 
147.288889    3.147    1.921    0.441 
147.291667    3.010    1.894    0.592 
147.294444    2.262    2.267    0.645 
147.297222    1.307    2.725    1.509 
147.300000    1.406    2.714    1.456 
147.302778    1.461    2.786    1.268 
147.305556    1.391    3.040    0.729 
147.308333    1.055    3.153    0.239 
147.311111    1.451    2.712    0.963 
147.313889    1.458    2.058    1.732 
147.316667    1.566    2.005    1.745 
147.319444    2.330    2.384   -0.178 
147.322222    2.190    2.423    0.066 
147.325000    2.180    2.628    0.086 
147.327778    2.333    2.525   -0.326 
147.330556    1.585    2.515   -1.084 
147.333333    1.273    2.263   -1.421 
147.336111    2.508    0.694   -2.028 
147.338889    2.191    0.802   -2.258 
147.341667    1.777    1.421   -2.029 
147.344444    0.917    2.656   -0.892 
147.347222    1.662    2.378   -0.875 
147.350000    1.858    2.209   -1.038 
147.352778    1.662    2.168   -1.230 
147.355556    1.598    1.674   -1.757 
147.358333    1.754    1.480   -1.864 
147.361111    1.519    1.616   -1.893 
147.363889    0.949    1.027   -2.642 
147.366667    1.321    1.778   -1.608 
147.369444    1.383    1.285   -2.172 
147.372222    1.563    0.650   -2.353 
147.375000    1.512    0.232   -2.630 
147.377778    2.042    0.022   -2.463 
147.380556    1.800   -0.678   -2.424 
147.383333    1.575   -0.136   -2.573 
147.386111    1.495    0.154   -2.697 
147.388889    2.284    0.913   -1.907 
147.391667    2.169    0.753   -1.866 
147.394444    2.243    0.603   -1.955 
147.397222    2.087    0.455   -2.079 
147.400000    2.359   -0.342   -2.059 
147.402778    2.335   -0.901   -1.867 
147.405556    2.155   -1.617   -1.758 
147.408333    1.502   -2.395   -0.987 
147.411111    0.537   -2.930   -0.142 
147.413889    0.197   -2.854    0.303 
147.416667    0.116   -2.866   -0.303 
147.419444    0.073   -2.790   -0.223 
147.422222    1.267   -2.315   -0.883 
147.425000    1.373   -2.562   -0.527 
147.427778    1.649   -2.301   -0.656 
147.430556    1.602   -2.340   -0.645 
147.433333    1.458   -2.649   -0.592 
147.436111    1.401   -2.592   -0.630 
147.438889    1.477   -2.474   -0.741 
147.441667    1.484   -2.490   -0.691 
147.444444    1.869   -2.094   -0.788 
147.447222    1.662   -1.978   -0.712 
147.450000    0.827   -2.138    0.099 
147.452778   -1.076   -2.042    0.365 
147.455556   -0.781   -2.047    0.254 
147.458333   -0.181   -2.202   -0.168 
147.461111   -0.285   -2.588   -0.332 
147.463889   -0.691   -2.899   -0.144 
147.466667   -0.702   -2.851   -0.025 
147.469444   -0.735   -3.051   -0.021 
147.472222   -0.984   -2.908   -0.094 
147.475000   -1.299   -2.933   -0.266 
147.477778   -1.185   -2.750   -0.205 
147.480556   -0.687   -2.553    0.023 
147.483333   -0.595   -2.601   -0.188 
147.486111   -0.527   -2.545   -0.134 
147.488889   -0.576   -2.483   -0.084 
147.491667   -0.481   -2.610   -0.289 
147.494444   -0.226   -2.643   -0.493 
147.497222   -0.551   -2.526   -0.155 
147.500000   -0.581   -2.551   -0.149 
147.502778   -0.345   -2.531   -0.849 
147.505556   -0.384   -2.555   -0.858 
147.508333   -0.406   -2.299   -0.858 
147.511111   -0.895   -2.106   -0.161 
147.513889   -0.653   -2.184   -0.195 
147.516667   -0.182   -2.409   -0.508 
147.519444   -0.202   -2.224   -0.505 
147.522222   -0.242   -2.167   -0.676 
147.525000   -0.164   -2.020   -0.750 
147.527778    0.523   -1.312   -1.247 
147.530556    0.510   -1.067   -1.345 
147.533333    0.496   -1.198   -1.392 
147.536111    0.761   -1.456   -1.320 
147.538889    0.967   -1.796   -0.986 
147.541667    1.188   -1.696   -0.914 
147.544444    1.388   -1.459   -1.123 
147.547222    1.335   -1.792   -0.418 
147.550000    1.038   -2.079   -0.078 
147.552778    0.829   -2.321   -0.172 
147.555556    0.805   -2.395   -0.199 
147.558333    0.736   -2.235   -0.144 
147.561111    0.892   -1.925   -0.107 
147.563889    1.799   -1.547   -0.263 
147.566667    1.666   -1.745   -0.478 
147.569444    2.151   -1.267   -0.817 
147.572222    2.380   -0.878   -0.855 
147.575000    2.575   -0.704   -0.711 
147.577778    2.551   -0.887   -0.395 
147.580556    2.794   -0.333   -0.315 
147.583333    2.792    0.018   -0.360 
147.586111    2.846    0.088   -0.257 
147.588889    2.278    0.456   -0.913 
147.591667    2.506    0.588   -0.550 
147.594444    2.422    0.706   -0.504 
147.597222    2.289    0.758   -0.555 
147.600000    2.179    0.418   -0.683 
147.602778    1.964    0.543   -0.549 
147.605556    1.728    0.559   -0.202 
147.608333    1.079    0.469   -0.585 
147.611111    0.472    1.450    0.382 
147.613889   -0.080    1.220    0.564 
147.616667    0.466    1.096   -0.171 
147.619444    1.789   -1.134   -0.029 
147.622222    1.872   -1.530    0.121 
147.625000    1.735   -1.587    0.136 
147.627778    1.733   -1.536    0.078 
147.630556    1.482   -1.730    0.041 
147.633333    1.473   -1.887    0.446 
147.636111    1.519   -1.961    0.373 
147.638889    1.603   -1.981    0.285 
147.641667    1.633   -1.587    0.486 
147.644444    1.678   -1.674    0.118 
147.647222    1.873   -1.661    0.012 
147.650000    1.960   -1.714    0.042 
147.652778    1.953   -1.679   -0.211 
147.655556    0.960   -1.258    0.637 
147.658333    0.597   -1.064    0.416 
147.661111    0.678   -1.575    0.972 
147.663889    0.826   -1.653    0.981 
147.666667    0.164   -1.870    1.376 
147.669444   -0.160   -1.629    1.726 
147.672222    0.054   -1.678    1.719 
147.675000    0.412   -1.857    1.766 
147.677778    0.853   -2.113    1.738 
147.680556    0.852   -2.214    1.521 
147.683333    0.936   -2.169    1.631 
147.686111    0.736   -2.162    1.668 
147.688889    0.781   -2.240    1.635 
147.691667    0.681   -2.274    1.529 
147.694444    0.916   -2.119    1.595 
147.697222    0.892   -2.096    1.580 
147.700000    0.236   -2.124    1.547 
147.702778    0.018   -2.217    1.461 
147.705556   -0.108   -2.282    1.493 
147.708333   -0.208   -2.143    1.379 
147.711111   -0.408   -2.185    1.369 
147.713889   -0.427   -2.187    1.299 
147.716667   -0.520   -2.212    1.070 
147.719444   -0.654   -2.091    1.073 
147.722222   -0.585   -1.486    0.973 
147.725000   -0.083   -0.936    0.634 
147.727778    0.481    0.352    0.090 
147.730556    1.170    0.967    0.559 
147.733333    1.529    1.217    0.699 
147.736111    1.791    1.376    0.522 
147.738889    2.078    1.707    0.025 
147.741667    2.001    1.917    0.233 
147.744444    1.871    2.016    0.175 
147.747222    1.779    1.984    0.009 
147.750000    1.739    2.018    0.216 
147.752778    1.551    2.036    0.840 
147.755556    1.775    1.980    0.468 
147.758333    1.779    2.024   -0.037 
147.761111    1.596    2.115    0.027 
147.763889    1.621    2.198    0.144 
147.766667    1.700    1.952    0.280 
147.769444    1.825    1.444    0.791 
147.772222    1.804    0.989    1.637 
147.775000    1.675    0.980    1.563 
147.777778    1.649    1.663    0.908 
147.780556    1.475    1.697    0.619 
147.783333    1.479    0.841    1.724 
147.786111    1.441    0.090    1.622 
147.788889    0.760   -1.060    1.958 
147.791667    0.020   -1.592    2.040 
147.794444    0.228   -1.581    2.264 
147.797222    0.194   -1.633    2.200 
147.800000    0.099   -1.840    2.115 
147.802778    0.137   -1.871    2.113 
147.805556    0.156   -1.769    2.170 
147.808333    0.583   -1.448    2.072 
147.811111    0.592   -1.460    1.989 
147.813889    0.480   -1.404    1.856 
147.816667    0.084   -1.429    1.926 
147.819444    0.152   -1.259    2.094 
147.822222    0.443   -0.866    2.218 
147.825000    0.575   -0.578    2.020 
147.827778    1.376    0.354    1.764 
147.830556    1.346    0.404    1.823 
147.833333    1.141   -0.401    1.642 
147.836111    1.256    0.273    1.384 
147.838889    1.429    0.078    1.594 
147.841667    1.513   -0.316    1.799 
147.844444    1.538   -0.627    1.745 
147.847222    1.189   -1.175    1.384 
147.850000    0.830   -1.339    1.014 
147.852778    1.085   -1.207    1.179 
147.855556    0.983   -0.902    1.265 
147.858333    0.979   -0.744    1.208 
147.861111    1.484   -0.305    1.539 
147.863889    1.427   -0.820    1.612 
147.866667    1.267   -1.155    1.657 
147.869444    1.033   -1.358    1.452 
147.872222    1.019   -1.447    1.378 
147.875000    0.397   -1.789    1.028 
147.877778    0.348   -1.696    1.187 
147.880556    0.149   -1.738    1.138 
147.883333   -0.377   -1.837    0.677 
147.886111   -0.462   -1.944    0.345 
147.888889   -0.791   -1.841    0.053 
147.891667   -1.103   -1.648   -0.470 
147.894444   -0.068   -0.716    0.023 
147.897222    1.949    0.484    1.530 
147.900000    1.617    0.345    2.085 
147.902778    1.657    0.494    2.049 
147.905556    1.564    0.566    1.894 
147.908333    1.711   -0.067    1.949 
147.911111    1.721   -0.243    1.805 
147.913889    1.655    0.576    1.770 
147.916667    1.556    0.811    1.744 
147.919444    1.897    0.565    1.783 
147.922222    1.838    1.338    1.341 
147.925000    1.694    1.418    1.252 
147.927778    1.842    1.583    1.044 
147.930556    1.508    2.125    0.487 
147.933333    1.023    2.138    0.622 
147.936111    0.060    2.516    0.208 
147.938889    0.088    2.504    0.776 
147.941667    0.144    2.361    1.161 
147.944444   -0.106    1.910    1.429 
147.947222   -0.007    1.855    1.616 
147.950000    1.853    1.819   -0.074 
147.952778    1.525    2.053    0.467 
147.955556    1.271    2.148    0.624 
147.958333    1.415    2.341    0.188 
147.961111    1.521    1.915    0.916 
147.963889    1.017    1.497    2.051 
147.966667    0.575    0.144    2.761 
147.969444    0.674    1.017    1.248 
147.972222    1.574    2.301    0.680 
147.975000    1.665    2.220    0.014 
147.977778    1.484    2.230   -0.160 
147.980556    1.313    1.994   -0.771 
147.983333    1.014    1.954   -0.658 
147.986111    1.093    1.879   -0.166 
147.988889    1.632    1.358    1.055 
147.991667    1.914    0.797    1.451 
147.994444    2.088    0.904    1.069 
147.997222    2.368    0.969    0.773 
148.000000    2.313    1.195    0.416 
148.002778    1.828    1.453   -0.173 
148.005556    1.415   -0.155    1.099 
148.008333    0.856   -1.192    2.005 
148.011111    1.778    0.205    1.377 
148.013889    2.007    0.716    0.085 
148.016667    2.164    0.612    0.061 
148.019444    2.101    0.568   -0.033 
148.022222    2.385   -0.043    0.603 
148.025000    2.620   -0.253    0.799 
148.027778    2.661   -0.426    0.854 
148.030556    2.605   -0.832    0.148 
148.033333    2.990   -0.207    0.300 
148.036111    3.172   -0.351    0.176 
148.038889    3.278   -0.408   -0.056 
148.041667    3.423   -0.391   -0.322 
148.044444    3.281   -0.371   -0.412 
148.047222    3.258   -0.259   -0.507 
