1997 10.036 10.199 11.130 14.64 437 29 376.6 413.6 6.5 13.6 2.2 6.9 21.7 39.2 19.2 45.4 2.17 0.20 100 450 460 507
1997 40.535 41.119 41.769 7.87 458 17 522.2 590.9 3.9 8.9 3.4 2.6 58.9 76.4 39.2 55.6 2.28 0.14 90 450 600 683
1997 135.052 135.625 136.110 18.86 468 -38 318.9 394.1 18.6 40.3 7.3 18.4 29.1 39.1 36.9 64.0 2.17 0.13 150 450 480 616
1997 146.381 146.649 148.000 9.50 330 16 283.6 306.8 13.8 25.2 3.1 5.3 18.1 23.3 18.3 23.7 1.82 0.05 70 340 350 381
1997 245.944 246.360 246.875 13.65 408 -5 315.6 350.3 11.1 22.3 3.8 7.4 28.3 36.2 25.4 34.6 2.01 0.10 40 410 430 405
1997 326.383 326.730 327.780 16.00 497 15 347.9 434.0 11.7 29.0 5.6 11.8 53.1 99.7 35.9 54.8 2.54 0.07 170 510 520 640
1997 344.190 344.799 346.000 11.70 352 18 289.8 357.1 10.2 25.3 7.1 15.8 34.0 43.7 48.4 68.6 2.49 0.35 50 350 380 460
1997 364.051 364.399 365.369 11.56 366 -10 321.2 374.3 7.7 15.7 5.4 10.3 36.5 45.3 43.4 59.4 2.03 0.17 50 370 410 430
1998 6.562 7.099 8.330 16.09 383 32 306.6 371.6 9.7 27.2 6.5 6.1 32.7 62.5 46.1 45.2 2.83 0.33 80 400 410 480
1998 121.890 122.480 123.700 9.38 519 105 462.5 575.2 4.6 13.5 7.0 13.8 55.2 90.5 71.9 90.4 2.84 0.55 150 520 650 780
1998 238.278 238.880 240.019 13.83 656 155 464.1 648.7 4.9 14.0 6.5 16.4 55.0 163.5 64.8 111.1 2.88 0.31 200 650 860 1260
1999 49.117 49.385 50.000 15.23 658 2 396.7 614.2 3.3 10.9 7.1 19.5 60.3 178.9 85.8 130.1 3.20 0.20 250 540 680 870
1999 187.599 187.800 188.699 7.20 463 -9 340.1 404.8 2.9 5.7 5.6 10.4 20.9 34.7 72.9 97.0 1.97 0.22 50 460 500 620
1999 265.506 265.749 266.399 17.83 560 26 374.6 459.7 17.0 44.7 11.3 9.3 52.4 83.3 61.2 50.4 2.64 0.68 120 530 600 770
2000 42.982 43.514 44.024 12.05 549 13 430.3 593.3 5.0 16.1 6.7 22.5 46.9 77.5 66.2 123.2 3.27 0.50 180 540 590 915
2000 45.299 45.549 46.649 6.35 563 0 570.8 617.8 2.9 5.0 5.8 9.2 63.0 90.8 76.6 97.1 1.81 0.31 100 520 680 815
2000 51.877 52.600 53.553 14.78 378 31 321.2 405.6 8.6 18.5 7.6 16.7 31.9 51.4 57.1 86.9 2.11 0.20 120 380 460 560
2000 195.416 195.649 196.649 6.49 619 23 587.6 682.2 10.4 18.9 10.5 20.9 114.5 129.8 73.3 106.7 1.83 0.25 200 610 670 940
2000 210.276 210.600 211.421 14.26 462 -5 343.3 440.0 5.6 15.2 8.6 18.7 22.3 50.0 79.8 105.4 2.82 0.74 70 440 480 550
2000 223.217 223.869 224.780 12.20 421 4 365.3 399.7 6.1 10.4 6.6 11.0 37.9 59.9 59.8 75.3 1.72 0.22 50 430 480 530
2000 224.784 225.253 226.212 24.62 578 37 408.8 521.4 1.6 3.8 9.4 19.1 36.1 84.7 170.9 216.6 2.67 0.58 120 580 670 830
2000 279.144 279.799 280.819 5.15 475 76 364.8 468.4 7.2 17.1 6.7 18.8 33.4 51.4 54.3 99.9 2.35 0.25 110 450 530 756
2000 286.940 287.767 288.800 11.85 400 6 328.2 445.3 4.3 10.1 6.0 16.2 43.4 56.7 63.7 117.4 2.43 0.24 120 400 460 590
2000 302.276 302.971 304.012 13.79 382 27 317.2 368.2 3.8 8.0 4.4 7.6 32.6 43.0 49.5 58.1 2.10 0.28 50 380 420 565
2000 311.396 311.962 312.753 20.34 536 58 473.9 571.7 2.0 4.2 4.9 9.5 50.3 101.2 78.7 102.3 2.30 0.39 110 510 610 660
2001 23.449 24.360 25.800 4.49 411 0 414.3 556.7 2.9 9.2 4.6 10.8 39.6 97.7 60.2 79.0 3.19 0.39 140 400 550 680
2001 78.481 78.830 79.762 17.16 418 42 313.3 370.0 10.8 17.4 7.1 14.9 41.1 44.0 47.5 79.5 1.64 0.16 100 360 490 520
2001 94.610 94.871 95.349 10.30 739 0 492.6 684.5 3.7 7.3 6.8 9.6 54.1 218.6 78.6 86.8 2.15 0.71 90 650 780 1020
2001 101.590 101.950 102.749 18.72 663 50 530.4 635.1 2.4 7.7 5.4 7.0 74.9 186.2 80.8 63.7 3.60 1.59 230 640 740 1290
2001 118.208 118.749 122.200 6.30 504 168 448.4 754.4 2.4 6.8 6.2 18.7 49.3 100.2 90.8 170.3 3.10 1.36 400 550 730 1040
2001 229.459 229.999 230.800 14.14 533 63 350.7 475.5 4.3 14.6 4.8 18.2 28.0 60.1 52.5 104.7 3.40 0.47 150 500 600 620
2001 272.394 272.599 272.801 11.14 567 127 523.1 664.3 2.4 6.3 4.6 1.2 74.4 110.5 68.4 80.8 2.81 0.83 180 560 700 790
2001 294.694 295.053 296.033 14.78 578 0 371.2 558.1 7.7 28.9 6.1 12.2 64.3 149.9 58.5 87.4 4.31 1.88 250 460 680 870
2001 301.134 302.680 303.449 6.13 381 13 355.1 510.7 2.6 7.1 7.6 18.3 23.6 73.1 106.0 152.7 2.87 0.96 150 360 510 694
2001 328.244 328.658 329.553 16.28 745 150 647.9 959.2 4.6 25.3 6.4 34.9 109.4 224.9 71.8 162.3 5.12 1.09 550 720 1040 1320
